employees,revenue,venture,sbir,state,zip,tech,tech_broad,campus,latitude,longitude,city,state,county,zip,congressional,state_assembly,state_senate
1,"$93,000",,,CA,94526,Medical Therapeutics,Medical,UC Berkeley,37.82806636,-121.9769279,Danville,CA,Contra Costa County,94526,CA11,Assembly District 16,State Senate District 7
5,"$420,000","$5,200,000",,MA,2451,Research Tools,Research Tools,UC Berkeley,42.3762884,-71.2485304,Waltham,MA,Middlesex County,2451,MA05,9th Middlesex District,Third Middlesex District
,,,"$580,000",WA,98109,Research Tools,Research Tools,UC Berkeley,47.623203,-122.337144,Seattle,WA,King County,98109,WA07,State House District 43,State Senate District 43
12,"$1,200,000",,,CA,92108,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,32.774699,-117.148616,San Diego,CA,San Diego County,92108,CA53,Assembly District 79,State Senate District 39
32,"$316,000","$17,000,000",,CA,94103,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,37.775678,-122.412131,San Francisco,CA,San Francisco County,94103,CA12,Assembly District 17,State Senate District 11
1,"$57,000","$1,500,000",,DC,20006,Electronic Systems and Components,Electronic Systems,UC Berkeley,38.897131,-77.041248,Washington,DC,District of Columbia,20006,DC98,,Ward 2
230,"$50,100,000","$74,620,000",,CA,95037,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.07699635,-121.7239022,Morganhill,CA,Santa Clara County,95037,CA19,Assembly District 29,State Senate District 17
56,"$9,900,000","$105,955,000",,CA,92037,Medical Therapeutics,Medical,UC Berkeley,32.856347,-117.250058,La Jolla,CA,San Diego County,92037,CA52,Assembly District 78,State Senate District 39
392,"$41,112,000","$242,600,000","$796,697",CA,94608,Energy,Energy,UC Berkeley,37.83978071,-122.2893003,Emeryville,CA,Alameda County,94608,CA13,Assembly District 15,State Senate District 9
33,"$3,900,000","$22,800,100",,CA,94538,Medical Devices,Medical,UC Berkeley,37.48351192,-121.9457677,Fremont,CA,Alameda County,94538,CA17,Assembly District 25,State Senate District 10
24,"$1,600,000","$6,102,000",,CA,94040,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,37.39468043,-122.0996535,Mountain View,CA,Santa Clara County,94040,CA18,Assembly District 24,State Senate District 13
100,"$17,100,000","$78,000,000",,CA,94545,Energy,Energy,UC Berkeley,37.62735046,-122.1155373,Hayward,CA,Alameda County,94545,CA15,Assembly District 20,State Senate District 10
5,"$560,000","$3,000,000","$349,875",CA,95132,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.413981,-121.8455278,San Jose,CA,Santa Clara County,95132,CA17,Assembly District 25,State Senate District 10
120,"$12,000,000","$112,130,000",,CA,94538,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.48453618,-121.9460249,Fremont,CA,Alameda County,94538,CA17,Assembly District 25,State Senate District 10
,,"$40,000",,CA,91316,Agriculture,Agriculture,UC Berkeley,34.17222057,-118.5018881,Encino,CA,Los Angeles County,91316,CA30,Assembly District 45,State Senate District 27
35,"$2,800,000",,,CA,94608,Research Tools,Research Tools,UC Berkeley,38.470292,-122.493977,Emeryville,CA,Alameda County,94608,CA05,Assembly District 4,State Senate District 3
,,,,CA,94707,Software and Services,Information Technology,UC Berkeley,37.88637489,-122.2666452,Berkeley,CA,Alameda County,94707,CA13,Assembly District 15,State Senate District 9
7,"$817,000",,"$563,612",CA,94804,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.91536802,-122.3318119,Richmond,CA,Contra Costa County,94804,CA11,Assembly District 15,State Senate District 9
,,,,CA,94041,Software and Services,Information Technology,UC Berkeley,37.38732841,-122.0829756,Mountain View,CA,Santa Clara County,94041,CA18,Assembly District 24,State Senate District 13
,,,,CA,95814,Energy,Energy,UC Berkeley,38.578748,-121.501537,Sacramento,CA,Sacramento County,95814,CA06,Assembly District 7,State Senate District 6
,,"$25,000,000",,CA,94501,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.77990083,-122.2742916,Alameda,CA,Alameda County,94501,CA13,Assembly District 18,State Senate District 9
5,"$340,000",,"$308,902",CA,94710,Research Tools,Research Tools,UC Berkeley,37.85171686,-122.2913993,Berkeley,CA,Alameda County,94710,CA13,Assembly District 15,State Senate District 9
2,"$84,000",,,CB22 3AT,ENGLAND,Research Tools,Research Tools,UC Berkeley,34.55417163,-91.96768869,England,AR,Lonoke County,72046,AR01,State House District 14,State Senate District 28
10,"$590,000",,"$4,623,930",CA,94545,Research Tools,Research Tools,UC Berkeley,37.65537878,-122.1418061,Hayward,CA,Alameda County,94545,CA15,Assembly District 20,State Senate District 10
1,"$50,000","$5,600,000",,CA,94105,Medical Diagnostics,Medical,UC Berkeley,37.78818163,-122.3964831,San Francisco,CA,San Francisco County,94105,CA12,Assembly District 17,State Senate District 11
4,"$320,000","$4,064,000",,CA,94566,Medical Devices,Medical,UC Berkeley,37.673653,-121.8656625,Pleasanton,CA,Alameda County,94566,CA15,Assembly District 16,State Senate District 7
5400,"$1,921,000,000",,"$1,359,176",CA,94608,Medical Therapeutics,Medical,UC Berkeley,37.83548611,-122.289832,Emeryville,CA,Alameda County,94608,CA13,Assembly District 15,State Senate District 9
2,"$69,000",,,Cambridgeshire,UK,"Communications, Information Technology, and Data Processing",Information Technology,UC Berkeley,,,,,,,,,
,,,,CA,94707,Medical Devices,Medical,UC Berkeley,37.88667059,-122.2823052,Berkeley,CA,Alameda County,94707,CA13,Assembly District 15,State Senate District 9
3,"$240,000",,,CA,94707,Software and Services,Information Technology,UC Berkeley,37.89105167,-122.2846735,Berkeley,CA,Alameda County,94707,CA13,Assembly District 15,State Senate District 9
2,"$110,000","$400,000",,CA,94022,Software and Services,Information Technology,UC Berkeley,37.40478953,-122.1202163,Los Altos,CA,Santa Clara County,94022,CA18,Assembly District 24,State Senate District 13
1,"$74,000",,,MA,2081,Software and Services,Information Technology,UC Berkeley,42.1533939,-71.2346144,Walpole,MA,Norfolk County,2081,MA08,12th Norfolk District,Bristol & Norfolk District
4,"$306,300",,,IP6 0NL,United Kingdom,Agriculture,Agriculture,UC Berkeley,38.959176,-91.92418,Kingdom City,MO,Callaway County,65262,MO03,State House District 49,State Senate District 10
,,,,CA,95834,Medical Diagnostics,Medical,UC Berkeley,38.635654,-121.518416,Sacramento,CA,Sacramento County,95834,CA06,Assembly District 7,State Senate District 6
2,"$190,000",,"$148,880",CA,94720,Medical Diagnostics,Medical,UC Berkeley,37.873838,-122.254934,Berkeley,CA,Alameda County,94720,CA13,Assembly District 15,State Senate District 9
4,"$280,000",,,MA,1755,Electronic Systems and Components,Electronic Systems,UC Berkeley,,,,,,,,,
15,"$2,600,000","$67,590,000",,CA,95131,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.40085818,-121.8906817,San Jose,CA,Santa Clara County,95131,CA17,Assembly District 25,State Senate District 10
70,,"$86,500,000",,CA,94555,Research Tools,Research Tools,UC Berkeley,37.55020837,-122.06501,Fremont,CA,Alameda County,94555,CA15,Assembly District 20,State Senate District 10
,,,,FL,32901,Advanced Materials,Advanced Materials,UC Berkeley,28.07924142,-80.60317633,Melbourne,FL,Brevard County,32901,FL08,State House District 52,State Senate District 16
44,"$5,200,000","$37,581,000","$2,748,366",CA,94804,Medical Devices,Medical,UC Berkeley,37.91084229,-122.3593604,Richmond,CA,Contra Costa County,94804,CA11,Assembly District 15,State Senate District 9
1,"$54,000",,,CA,94123,Electronic Systems and Components,Electronic Systems,UC Berkeley,37.80483967,-122.4480158,San Francisco,CA,San Francisco County,94123,CA12,Assembly District 19,State Senate District 11
6,"$480,000",,,CA,94607,Advanced Materials,Advanced Materials,UC Berkeley,37.81426318,-122.2859211,Oakland,CA,Alameda County,94607,CA13,Assembly District 18,State Senate District 9
3,"$210,000",,"$249,966",CA,94709,Software and Services,Information Technology,UC Berkeley,37.877445,-122.256191,Berkeley,CA,Alameda County,94709,CA13,Assembly District 15,State Senate District 9
,,,,CA,94566,Medical Therapeutics,Medical,UC Berkeley,37.64606198,-121.8964063,Pleasanton,CA,Alameda County,94566,CA15,Assembly District 16,State Senate District 7
1,"$69,000",,,CA,94025,Software and Services,Information Technology,UC Berkeley,37.421053,-122.206428,Menlo Park,CA,San Mateo County,94025,CA18,Assembly District 24,State Senate District 13
,,,"$189,826",CA,94025,Research Tools,Research Tools,UC Berkeley,37.47853444,-122.1436247,Menlo Park,CA,San Mateo County,94025,CA14,Assembly District 24,State Senate District 13
2,"$110,000",,"$89,333",CA,94530,Medical Therapeutics,Medical,UC Berkeley,37.91853027,-122.3093612,El Cerrito,CA,Contra Costa County,94530,CA11,Assembly District 15,State Senate District 9
30,"$3,900,000","$11,100,000","$3,392,934",CA,94080,Research Tools,Research Tools,UC Berkeley,37.657443,-122.423483,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
44,"$731,000","$76,630,000",,MA,2140,Medical Therapeutics,Medical,UC Berkeley,42.393246,-71.133833,Cambridge,MA,Middlesex County,2140,MA07,24th Middlesex District,Second Middlesex District
1,"$43,000",,,NC,27101,Environment,Environment,UC Berkeley,36.09970951,-80.24694263,Winston-Salem,NC,Forsyth County,27101,NC12,State House District 71,State Senate District 32
